to dull;abstumpfen
to purport sth.;etw. vorgeben | etw. behaupten
to aqcuiesce in sth.;sich in etw. schicken
to budge;nachgeben
tractable;lenkbar
torrent;Sturzbach
spurious;falsch | unberechtigt
to bellyache;nörgeln | meckern
ruthless;rücksichtslos
authority;Vollmacht
to appropriate sth.;etw. bewilligen
ratchet;Klinke
heedless;achtlos
adorned;verziert
to shy away;zurückschrecken
convoluted;verworren | verwickelt
umpire | referee;Schiedsrichter
to ratchet up;hochfahren | ankurbeln | anheizen
canvass;Untersuchung | Erörterung
to confine oneself;sich beschränken
to beget;zeugen
impenetrable;undurchdringlich
to convene sth.;etw. einberufen
to be heedless of sth.;keine Rücksicht auf etw. nehmen
to lull;einlullen
incumbent;Amtsinhaber
to converge | to convene;sich versammeln
to resort to sth.;auf etw. zurückgreifen
